TOTAL:14 B:3 C:2 A:0 R:9 CODEMASTER_R:CodemasterEmbeddings GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterMCTS GUESSER_B:GuesserMCTS SEED:42 WINNER:R
TOTAL:12 B:8 C:3 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:22 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:7 CODEMASTER_R:CodemasterEmbeddings GUESSER_R:NaiveGuesser CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:7 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:69 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:10 B:8 C:1 A:0 R:2 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserMCTS CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:14 B:8 C:0 A:0 R:8 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:B
TOTAL:9 B:6 C:0 A:0 R:9 CODEMASTER_R:CodemasterCurriculum GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterTreeOfThoughts GUESSER_B:GuesserEmbeddings SEED:42 WINNER:R
TOTAL:11 B:7 C:0 A:0 R:9 CODEMASTER_R:CodemasterCurriculum GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:R
TOTAL:10 B:8 C:1 A:0 R:5 CODEMASTER_R:CodemasterCurriculum GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:22 WINNER:B
TOTAL:11 B:5 C:1 A:0 R:9 CODEMASTER_R:CodemasterCurriculum GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:1 WINNER:R
TOTAL:13 B:7 C:4 A:0 R:9 CODEMASTER_R:CodemasterEmbeddings GUESSER_R:NaiveGuesser CODEMASTER_B:CodemasterCurriculum GUESSER_B:GuesserEmbeddings SEED:24 WINNER:R
TOTAL:13 B:7 C:4 A:0 R:9 CODEMASTER_R:CodemasterEmbeddings GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterCurriculum GUESSER_B:NaiveGuesser SEED:24 WINNER:R
TOTAL:17 B:7 C:1 A:0 R:9 CODEMASTER_R:CodemasterTreeOfThoughts GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterCurriculum GUESSER_B:GuesserEmbeddings SEED:42 WINNER:R
TOTAL:17 B:7 C:2 A:0 R:9 CODEMASTER_R:CodemasterTreeOfThoughts GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterCurriculum GUESSER_B:GuesserEmbeddings SEED:42 WINNER:R
TOTAL:17 B:7 C:2 A:0 R:9 CODEMASTER_R:CodemasterMCTS GUESSER_R:GuesserEmbeddings CODEMASTER_B:CodemasterEmbeddings GUESSER_B:GuesserEmbeddings SEED:42 WINNER:R
